ntaxa,rep,ils,ngt,m,avg_gtee,norm_output_error,output_hwcd
50,15,low,1000,10,0.04272916666666668,0.08196721311475409,10.0
50,16,low,100,10,0.034999999999999996,0.038461538461538464,4.0
50,18,low,100,10,0.03666666666666667,0.0,0.0
50,13,high,1000,10,0.3270000000000002,0.038461538461538464,4.0
50,20,low,100,10,0.04270833333333333,0.01818181818181818,2.0
50,16,low,1000,10,0.036437500000000005,0.057692307692307696,6.0
50,11,high,100,10,0.28312500000000007,0.04081632653061224,4.0
50,14,high,100,10,0.33791666666666664,0.12727272727272726,14.0
50,14,low,100,10,0.040625000000000015,0.01818181818181818,2.0
50,12,high,1000,10,0.3570208333333338,0.08620689655172414,10.0
50,12,low,100,10,0.036666666666666674,0.1206896551724138,14.0
50,16,high,1000,10,0.41243750000000007,0.038461538461538464,4.0
50,18,low,1000,10,0.03616666666666669,0.0,0.0
50,5,high,1000,20,0.33629166666666693,0.0,0.0
50,19,low,1000,10,0.037062499999999915,0.034482758620689655,4.0
50,11,high,1000,10,0.2834583333333337,0.0,0.0
50,19,high,100,10,0.37145833333333345,0.05172413793103448,6.0
50,19,low,100,10,0.038541666666666675,0.034482758620689655,4.0
50,14,low,1000,10,0.03783333333333331,0.05454545454545454,6.0
50,20,low,1000,10,0.037812500000000006,0.01818181818181818,2.0
50,17,high,100,10,0.5010416666666668,0.23076923076923078,24.0
50,16,high,100,10,0.4027083333333333,0.09615384615384616,10.0
50,20,high,1000,10,0.37804166666666655,0.05454545454545454,6.0
50,20,high,100,10,0.3929166666666667,0.18181818181818182,20.0
50,6,high,1000,20,0.3240624999999997,0.019230769230769232,2.0
50,18,high,100,10,0.3531249999999999,0.1346153846153846,14.0
50,14,high,1000,10,0.34689583333333335,0.05454545454545454,6.0
50,18,high,1000,10,0.3602083333333334,0.09615384615384616,10.0
50,14,high,1000,20,0.34960416666666655,0.03636363636363636,4.0
100,3,high,3000,10,0.5406666666666712,0.009523809523809525,2.0
50,15,high,1000,10,0.35400000000000015,0.13114754098360656,16.0
50,12,low,1000,10,0.033437499999999974,0.0,0.0
50,15,high,1000,20,0.3512291666666667,0.08196721311475409,10.0
50,1,low,100,10,0.042083333333333334,0.0,0.0
50,1,low,100,20,0.04229166666666666,0.01818181818181818,2.0
50,17,low,1000,10,0.032270833333333256,0.0,0.0
100,15,high,100,10,0.5992857142857145,0.13333333333333333,28.0
100,20,high,100,10,0.39051020408163256,0.18018018018018017,40.0
100,15,low,100,10,0.0320408163265306,0.01904761904761905,4.0
100,13,low,100,10,0.029183673469387758,0.00980392156862745,2.0
100,17,low,100,10,0.03418367346938775,0.009523809523809525,2.0
100,16,low,100,10,0.03959183673469388,0.06481481481481481,14.0
100,18,high,100,10,0.414081632653061,0.17543859649122806,40.0
100,13,low,1000,10,0.03123469387755107,0.0,0.0
100,4,low,100,10,0.042244897959183667,0.027777777777777776,6.0
100,19,high,100,10,0.5004081632653061,0.12380952380952381,26.0
100,3,low,100,10,0.03499999999999998,0.02857142857142857,6.0
100,19,low,1000,10,0.03509183673469403,0.02857142857142857,6.0
100,1,high,100,10,0.525,0.35,84.0
100,14,low,1000,10,0.03313265306122462,0.018018018018018018,4.0
100,2,low,1000,10,0.03214285714285725,0.0975609756097561,24.0
100,4,high,100,10,0.5036734693877551,0.21296296296296297,46.0
100,16,low,1000,10,0.03603061224489811,0.05555555555555555,12.0
100,18,low,100,10,0.028469387755102025,0.13157894736842105,30.0
100,3,low,1000,10,0.035224489795918495,0.01904761904761905,4.0
100,11,low,100,10,0.035204081632653046,0.07017543859649122,16.0
100,18,low,1000,10,0.02922448979591845,0.07894736842105263,18.0
50,8,high,3000,20,0.32987499999999975,0.06896551724137931,8.0
100,15,low,1000,10,0.031265306122449085,0.01904761904761905,4.0
100,2,high,1000,10,0.5747244897959131,0.21138211382113822,52.0
100,13,high,1000,10,0.5523673469387717,0.029411764705882353,6.0
100,12,low,1000,10,0.037928571428571575,0.07894736842105263,18.0
100,10,low,1000,10,0.032020408163265394,0.018518518518518517,4.0
100,12,low,100,10,0.03510204081632652,0.07017543859649122,16.0
100,19,high,1000,10,0.5059897959183669,0.05714285714285714,12.0
100,13,high,100,10,0.5467346938775514,0.21568627450980393,44.0
100,18,high,1000,10,0.4142040816326547,0.043859649122807015,10.0
100,3,high,1000,10,0.5384897959183642,0.02857142857142857,6.0
100,11,low,1000,10,0.03705102040816341,0.07017543859649122,16.0
100,1,high,1000,10,0.5384081632653033,0.20833333333333334,50.0
100,7,low,100,10,0.03479591836734695,0.00980392156862745,2.0
100,14,high,1000,10,0.35261224489795834,0.0990990990990991,22.0
100,3,high,100,10,0.547857142857143,0.2,42.0
100,17,high,100,10,0.35173469387755113,0.14285714285714285,30.0
100,16,high,1000,10,0.37678571428571433,0.12037037037037036,26.0
100,6,low,1000,10,0.038357142857142965,0.043859649122807015,10.0
100,2,high,100,10,0.5716326530612248,0.3333333333333333,82.0
100,20,low,100,20,0.033265306122448976,0.04504504504504504,10.0
100,8,low,100,10,0.033571428571428565,0.036036036036036036,8.0
100,5,low,100,10,0.03204081632653061,0.0196078431372549,4.0
100,5,high,100,10,0.3874489795918366,0.08823529411764706,18.0
100,7,high,100,10,0.38316326530612244,0.14705882352941177,30.0
100,12,high,1000,10,0.39428571428571585,0.23684210526315788,54.0
100,10,high,1000,10,0.3981122448979609,0.06481481481481481,14.0
100,10,low,100,10,0.03132653061224489,0.037037037037037035,8.0
100,8,low,1000,10,0.034438775510204175,0.02702702702702703,6.0
100,8,high,100,10,0.5132653061224489,0.2072072072072072,46.0
100,9,high,1000,10,0.47797959183673605,0.029411764705882353,6.0
100,4,high,1000,10,0.5068265306122443,0.12037037037037036,26.0
100,16,high,1000,20,0.3774285714285725,0.10185185185185185,22.0
100,4,high,3000,10,0.5044013605442187,0.06481481481481481,14.0
100,1,high,3000,10,0.5367823129251743,0.19166666666666668,46.0
100,2,high,3000,10,0.573894557823135,0.2601626016260163,64.0
50,4,high,3000,10,0.31100000000000017,0.0,0.0
50,8,high,3000,10,0.33075694444444487,0.05172413793103448,6.0
200,5,low,1000,10,0.03623737373737427,0.01951219512195122,8.0
