ntaxa,rep,ils,ngt,m,snaq_runtime_sum,snaq_runtime_serial,inphynet_runtime,nretic_true,nretic_est,rooted_major_hwcd,unrooted_major_hwcd,rooted_hwcd,unrooted_hwcd,rooted_min_greedy_hwcd,unrooted_min_greedy_hwcd,sum_constraint_hwcd,sum_constraint_retics,perfect_infer_unrooted_hwcd,min_unrooted_nj_hwcd,n_constraints,approx_norm_hwcd,min_greedy_approx_norm_hwcd,approx_norm_input_hwcd,approx_norm_nj_hwcd
200,20,low,100,20,228081.20986795425,12464.680186986923,22.48714454,5,5,16,16,10,8,10,8,2,5,2,6,15,0.018691588785046728,0.018691588785046728,0.02099946836788942,0.015151515151515152
200,1,low,1000,20,395226.15290880203,24581.06035900116,19.910856127,14,15,12,12,50,40,42,32,20,15,16,0,15,0.08298755186721991,0.06639004149377593,0.04975124378109453,0.0
200,20,low,100,10,32469.731308937073,2628.0021080970764,21.090277634,5,4,4,4,28,18,22,16,2,4,14,4,21,0.04205607476635514,0.037383177570093455,0.016767676767676768,0.010101010101010102
200,20,low,1000,20,123891.26215696335,4318.519814968109,12.007787462,5,5,18,18,4,4,4,4,4,6,0,4,16,0.009345794392523364,0.009345794392523364,0.02179691653375864,0.010101010101010102
50,17,high,1000,10,4734.325113296509,222.82858300209045,16.171877887,1,1,0,0,10,6,10,6,2,1,4,0,6,0.057692307692307696,0.057692307692307696,0.027777777777777776,0.0
50,16,low,100,20,30328.043748617172,3255.965721845627,13.010966854,1,1,2,2,4,4,4,4,4,1,0,0,4,0.038461538461538464,0.038461538461538464,0.047619047619047616,0.0
50,16,low,1000,20,28349.275016784668,2940.8802947998047,24.182237652,1,1,0,0,6,4,6,4,4,1,0,0,4,0.038461538461538464,0.038461538461538464,0.047619047619047616,0.0
200,20,low,3000,10,26121.41761159897,852.0380988121033,12.451190432,5,5,6,6,42,32,42,32,4,5,22,4,22,0.07476635514018691,0.07476635514018691,0.023434343434343436,0.010101010101010102
50,19,low,100,20,49544.53252696991,5050.699990034103,12.319939236,3,3,0,0,8,4,8,4,4,3,0,0,4,0.034482758620689655,0.034482758620689655,0.041666666666666664,0.0
200,20,low,3000,20,127306.89462304115,6816.843310117722,15.294774608,5,5,16,16,0,0,0,0,0,6,0,4,16,0.0,0.0,0.010101010101010102,0.010101010101010102
