ntaxa,rep,ils,m,inphynet_runtime,nretic_true,nretic_est,unrooted_major_hwcd,unrooted_hwcd,min_greedy_hwcd,is_greedy_rooted,min_unrooted_nj_hwcd,misplaced_retics
50,71,low,30,0.006358978,1,1,0.0,0,0,false,0,0
50,71,high,10,0.007761037,1,1,0.0,0,0,false,0,0
50,71,high,20,0.019103345,1,1,0.0,0,0,false,0,0
50,71,high,30,0.006487868,1,1,0.0,0,0,false,0,0
50,72,low,10,0.006870067,2,2,0.0,0,0,false,0,0
50,72,low,20,0.006981408,2,2,0.0,0,0,false,0,0
50,72,low,30,0.00669913,2,2,0.0,0,0,false,0,0
50,72,high,10,0.007022276,2,2,0.0,0,0,false,0,0
50,72,high,20,0.006792932,2,2,0.0,0,0,false,0,0
50,72,high,30,0.006835507,2,2,0.0,0,0,false,0,0
50,73,low,10,0.008322157,1,1,0.0,0,0,false,0,0
50,73,low,20,0.007523248,1,1,0.0,0,0,false,0,0
50,73,low,30,0.006412085,1,1,0.0,0,0,false,0,0
50,73,high,10,0.021132404,1,1,0.0,0,0,false,0,0
50,73,high,20,0.007203581,1,1,0.0,0,0,false,0,0
50,73,high,30,0.006706999,1,1,0.0,0,0,false,0,0
50,74,low,20,0.006404637,1,1,0.0,0,0,false,0,0
50,74,low,30,0.006446697,1,1,0.0,0,0,false,0,0
50,74,high,20,0.006281629,1,1,0.0,0,0,false,0,0
50,74,high,30,0.006485692,1,1,0.0,0,0,false,0,0
50,75,low,10,0.006120003,0,0,0.0,0,0,false,0,0
50,75,low,20,0.00617351,0,0,0.0,0,0,false,0,0
50,75,low,30,0.024524343,0,0,0.0,0,0,false,0,0
